"ID","Cluster","MemVal","Class","SoilPlot","AnnualForb","AnnualGrass","Carex","Moss","PerennialForb","PerennialGrass","Shrub","DensiCanopyCover","TotalFoliar","bare_ground","TreeCount","MeanDBH","LargeGaps","MeanHeight"
60,"V1",0.985,"Woodland","SSN07",2.5,18.3,2.5,0,8.8,20.6,14.2,66,50,14,114,12.7517543859649,0,322.5
16,"V1",0.988,"Woodland","LU16",8.8,0,0,0,8.8,16.9,25,66,55,0,130,13.3176923076923,0,350
9,"V1",0.993,"Woodland","LU09",2.5,0,15,0,5.6,14.8,14.4,67,35,4,90,16.4522222222222,1,350
22,"V2",0.549,"Grassland","NLO06",2.5,37.5,0,0,0,7.9,0,5,42.5,44,4,14.8,2,157.5
24,"V2",0.565,"Savanna","NLO08",2.5,0,2.5,0,0,38.2,15,29,62.5,28,19,18.5421052631579,0,192.5
2,"V2",0.61,"Grassland","LU02",0,37.5,0,0,15,14.5,0,0,37.5,42,0,0,3,160
5,"V2",0.717,"Savanna","LU05",0,2.5,0,0,0,31.2,38.3,7,65,18,20,13.38,0,200
10,"V2",0.783,"Grassland","LU10",0,8.8,2.5,0,26.2,34.2,15,0,55,26,8,12.3,0,220
51,"V2",0.833,"Savanna","SS18",2.5,54.2,0,0,26.2,19.7,38.8,0,62.5,62,3,6.2,1,61.5
49,"V2",0.854,"Savanna","SS15",4.6,37.5,0,0,18.3,29.1,20,10,57.5,58,37,9.42432432432432,0,30.75
47,"V2",0.919,"Savanna","SS13",8.3,37.5,0,0,0,40.5,0,5,58.8,61,28,7.61428571428571,2,78.5
21,"V2",0.948,"Grassland","NLO05",50,2.5,0,0,0,46.4,15,0,80,10,0,0,0,105
6,"V2",0.957,"Grassland","LU06",0,32.5,54.2,0,6.7,21.1,0,0,70,40,0,0,0,240
50,"V2",0.965,"Woodland","SS17",0,17.5,15,0,0,42.1,0,0,70,72,2,36.45,0,66
42,"V2",0.968,"Grassland","SS16",2.5,0,0,0,0,38.8,0,0,77.5,12,27,20.2,0,150
46,"V2",0.977,"Grassland","SS12",15,15,26.2,0,2.5,39.7,0,0,70,42,4,11.225,0,190.5
63,"V2",0.979,"Grassland","SSN10",0,60,15,0,2.5,70.6,0,0,98,0,0,0,0,142.5
56,"V2",0.983,"Grassland","SSN03",8.8,50,0,0,0,17,6.7,0,50,24,0,0,0,157.5
53,"V2",0.994,"Grassland","SS20",0,15,0,15,0,28.1,0,0,65,14,0,0,0,150
55,"V2",0.994,"Grassland","SSN02",2.5,37.5,2.5,0,0,70,2.5,0,90,10,0,0,0,120
57,"V2",0.994,"Grassland","SSN04",2.5,8.8,2.5,0,0,48.2,0,0,77.5,12,0,0,1,140
43,"V2",0.995,"Grassland","SS09",0,0,0,0,0,50,0,0,72.5,66,0,0,0,93.5
4,"V2",0.997,"Grassland","LU04",2.5,0,0,0,0,26.5,0,0,62.5,44,0,0,0,150
38,"V2",0.999,"Grassland","SS04",0,26.7,0,0,0,28.7,0,0,70,14,0,0,0,127.5
71,"V2",0.999,"Grassland","SSN18",2.5,30,0,0,2.5,26.5,0,0,62.5,30,0,0,0,153
36,"V3",0.493,"Savanna","NLO20",4.6,2.5,2.5,0,0,20.5,0,9,40,54,41,10.7146341463415,0,220
64,"V3",0.633,"Woodland","SSN11",10,0,10.4,0,8.8,20,14.2,40,30,10,59,13.5203389830508,3,226.5
58,"V3",0.695,"Woodland","SSN05",6.1,0,18.3,0,11.2,26.2,8.8,35,40,16,51,14.9588235294118,2,201
37,"V3",0.769,"Savanna","SS03",8.8,20,0,0,37.5,26,2.5,21,40,52,16,14.25,2,203
32,"V3",0.787,"Woodland","NLO16",0,0,0,0,0,7.5,2.5,48,12.5,0,76,17.7802631578947,4,228
25,"V3",0.795,"Savanna","NLO09",37.5,2.5,0,0,2.5,14.4,14.5,32,40,42,83,8.7421686746988,2,225
7,"V3",0.8,"Savanna","LU07",2.5,0,0,0,0,18.3,14.4,17,40,6,50,11.894,1,162.5
26,"V3",0.821,"Savanna","NLO10",2.5,0,15,0,0,21.5,0,0.5,42.5,40,3,26.8666666666667,4,150
19,"V3",0.865,"Savanna","LU19",0,0,0,0,2.5,14.2,9.6,0,37.5,26,0,0,4,168
44,"V3",0.894,"Woodland","SS10",18.3,8.8,0,0,2.5,11.9,18.3,37,45,30,36,15.5166666666667,2,201
3,"V3",0.902,"Woodland","LU03",2.5,0,0,0,0,25,22,12,45,12,49,13.0775510204082,2,180
48,"V3",0.921,"Woodland","SS14",2.5,38.8,0,0,0,32.5,26.2,35,32.5,54,45,16.2244444444444,4,188.5
61,"V3",0.931,"Savanna","SSN08",6.7,0,0,0,2.5,19,2.5,23,35,12,73,8.2972602739726,4,270
40,"V3",0.945,"Woodland","SS06",2.5,15,0,0,25.8,25.4,18.3,20,35,26,39,15.5897435897436,4,220
45,"V3",0.969,"Woodland","SS11",12.9,0,0,0,2.5,20,2.5,24,26.2,30,75,10.8493333333333,3,235.25
27,"V3",0.974,"Savanna","NLO11",0,0,0,0,0,9.4,23.1,33,25,24,41,15.1243902439024,4,230
33,"V3",0.974,"Savanna","NLO17",0,0,2.5,0,0,8.8,18.3,32,30,54,54,12.4518518518519,3,168.5
41,"V3",0.977,"Savanna","SS08",2.5,6.7,0,0,8.8,22.5,0,27,25,34,27,20.2,3,185
23,"V3",0.987,"Savanna","NLO07",0,2.5,2.5,0,0,24.2,0,20,30,36,33,15.5212121212121,4,270
52,"V3",0.989,"Savanna","SS19",0,2.5,0,0,0,15.9,0,19,23.8,48,29,12.348275862069,4,228
